,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,AP,ALL,51,51,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
3,AP,ALL,49,49,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
4,AP,ALL,44,44,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
5,AP,ALL,52,52,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
6,AP,ALL,53,53,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
7,AZ,ALL,47,47,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
8,AZ,ALL,48,48,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
9,AZ,ALL,49,49,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
10,AP,ALL,42,42,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
11,AP,ALL,111,111,-1,27,27,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
12,AP,ALL,110,110,-1,27,27,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
13,AP,ALL,109,109,-1,27,27,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
14,AP,ALL,108,108,-1,27,27,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
15,AP,ALL,107,107,-1,27,27,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
16,AP,ALL,48,48,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
17,AP,ALL,47,47,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
18,AP,ALL,46,46,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
19,AP,ALL,45,45,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
20,AZ,ALL,50,50,-1,17,17,True,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
21,AZ,ALL,46,46,-1,17,17,False,True,True,True,ALL,0,+000:23:17:01,+001:10:02:00,BAD AC CHANNEL          
