,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,AP,ALL,50,50,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
3,AP,ALL,51,51,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
4,AP,ALL,52,52,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
5,PV,ALL,58,58,-1,10,10,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
6,PV,ALL,59,59,-1,10,10,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
7,AP,ALL,49,49,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
8,AP,ALL,48,48,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
9,AP,ALL,47,47,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
10,AP,ALL,52,52,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
11,AP,ALL,51,51,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
12,AP,ALL,50,50,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
13,AP,ALL,49,49,-1,30,30,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
14,PV,ALL,60,60,-1,10,10,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
15,PV,ALL,61,61,-1,10,10,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
16,PV,ALL,62,62,-1,10,10,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
17,PV,ALL,66,66,-1,16,16,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
18,PV,ALL,65,65,-1,16,16,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
19,PV,ALL,64,64,-1,16,16,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
20,PV,ALL,63,63,-1,16,16,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
21,PV,ALL,62,62,-1,16,16,True,True,True,True,ALL,0,+000:23:17:01,+001:06:08:00,BAD AC CHANNEL          
