,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,PV,ALL,45,45,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
3,PV,ALL,46,46,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
4,JC,ALL,100,100,-1,14,14,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
5,JC,ALL,99,99,-1,14,14,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
6,AZ,ALL,50,50,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
7,AZ,ALL,49,49,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
8,PV,ALL,47,47,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
9,PV,ALL,48,48,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
10,PV,ALL,44,44,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
11,PV,ALL,49,49,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
12,PV,ALL,44,44,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
13,PV,ALL,45,45,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
14,PV,ALL,48,48,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
15,PV,ALL,49,49,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
16,AZ,ALL,48,48,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
17,AZ,ALL,47,47,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
18,AP,ALL,111,111,-1,27,27,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
19,AP,ALL,45,45,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
20,AP,ALL,46,46,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
21,AP,ALL,47,47,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
