,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,AZ,ALL,72,72,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
3,AZ,ALL,67,67,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
4,AZ,ALL,68,68,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
5,AZ,ALL,69,69,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
6,AZ,ALL,70,70,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
7,AZ,ALL,71,71,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
8,AZ,ALL,70,70,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
9,AZ,ALL,69,69,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
10,AZ,ALL,68,68,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
11,AZ,ALL,67,67,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
12,AP,ALL,14,14,-1,25,25,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
13,AP,ALL,13,13,-1,25,25,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
14,AP,ALL,12,12,-1,25,25,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
15,AZ,ALL,71,71,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
16,AZ,ALL,72,72,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
17,LM,ALL,67,67,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
18,PV,ALL,63,63,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
19,PV,ALL,62,62,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
20,LM,ALL,72,72,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
21,LM,ALL,71,71,-1,16,16,True,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
