,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:49,+000:07:00:50,BAD ACSCL SOLUTION      
3,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:51,+000:07:00:52,BAD ACSCL SOLUTION      
4,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:52,+000:07:00:52,BAD ACSCL SOLUTION      
5,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:52,+000:07:00:53,BAD ACSCL SOLUTION      
6,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:54,+000:07:00:55,BAD ACSCL SOLUTION      
7,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:55,+000:07:00:55,BAD ACSCL SOLUTION      
8,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:55,+000:07:00:56,BAD ACSCL SOLUTION      
9,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:57,+000:07:00:58,BAD ACSCL SOLUTION      
10,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:58,+000:07:00:58,BAD ACSCL SOLUTION      
11,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:00:58,+000:07:00:59,BAD ACSCL SOLUTION      
12,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:00,+000:07:01:00,BAD ACSCL SOLUTION      
13,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:00,+000:07:01:01,BAD ACSCL SOLUTION      
14,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:02,+000:07:01:03,BAD ACSCL SOLUTION      
15,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:03,+000:07:01:03,BAD ACSCL SOLUTION      
16,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:03,+000:07:01:04,BAD ACSCL SOLUTION      
17,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:05,+000:07:01:06,BAD ACSCL SOLUTION      
18,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:06,+000:07:01:06,BAD ACSCL SOLUTION      
19,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:06,+000:07:01:07,BAD ACSCL SOLUTION      
20,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:07:01:08,+000:07:01:09,BAD ACSCL SOLUTION      
