,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,AZ,ALL,43,43,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
3,AZ,ALL,52,52,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
4,AZ,ALL,44,44,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
5,AZ,ALL,45,45,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
6,AZ,ALL,46,46,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
7,AZ,ALL,51,51,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
8,AZ,ALL,51,51,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
9,AZ,ALL,50,50,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
10,AZ,ALL,49,49,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
11,AZ,ALL,48,48,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
12,AZ,ALL,47,47,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
13,AZ,ALL,46,46,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
14,AZ,ALL,45,45,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
15,AZ,ALL,52,52,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
16,AZ,ALL,51,51,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
17,AZ,ALL,52,52,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
18,AZ,ALL,53,53,-1,17,17,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
19,JC,ALL,101,101,-1,14,14,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
20,JC,ALL,100,100,-1,14,14,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
21,JC,ALL,99,99,-1,14,14,True,True,True,True,ALL,0,+000:22:31:01,+001:09:13:00,BAD AC CHANNEL          
