,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,PV,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:04:01,+000:23:04:02,BAD ACSCL SOLUTION      
3,PV,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:04:02,+000:23:04:02,BAD ACSCL SOLUTION      
4,PV,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:04:02,+000:23:04:03,BAD ACSCL SOLUTION      
5,PV,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:04:03,+000:23:04:04,BAD ACSCL SOLUTION      
6,PV,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:04:05,+000:23:04:06,BAD ACSCL SOLUTION      
7,PV,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:04:06,+000:23:04:07,BAD ACSCL SOLUTION      
8,PV,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:04:07,+000:23:04:08,BAD ACSCL SOLUTION      
9,AZ,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:00,+000:23:19:02,BAD ACSCL SOLUTION      
10,AZ,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:02,+000:23:19:03,BAD ACSCL SOLUTION      
11,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:15,+000:23:19:15,BAD ACSCL SOLUTION      
12,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:15,+000:23:19:16,BAD ACSCL SOLUTION      
13,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:16,+000:23:19:17,BAD ACSCL SOLUTION      
14,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:18,+000:23:19:19,BAD ACSCL SOLUTION      
15,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:18,+000:23:19:19,BAD ACSCL SOLUTION      
16,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:19,+000:23:19:20,BAD ACSCL SOLUTION      
17,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:19,+000:23:19:20,BAD ACSCL SOLUTION      
18,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:20,+000:23:19:21,BAD ACSCL SOLUTION      
19,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:20,+000:23:19:21,BAD ACSCL SOLUTION      
20,AA,ALL,0,0,-1,0,0,True,True,True,True,ALL,0,+000:23:19:21,+000:23:19:21,BAD ACSCL SOLUTION      
