,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,ALL,ALL,1,5,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
1,ALL,ALL,112,116,-1,1,32,True,True,True,True,ALL,0,+000:00:00:00,+9999:00:00:00,IF EDGE                 
2,AZ,ALL,0,0,-1,1,32,True,True,True,True,ALL,0,+000:22:16:00,+000:22:16:01,BAD ACSCL SOLUTION      
3,PV,ALL,50,50,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
4,PV,ALL,43,43,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
5,PV,ALL,42,42,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
6,PV,ALL,41,41,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
7,PV,ALL,40,40,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
8,PV,ALL,39,39,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
9,PV,ALL,51,51,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
10,PV,ALL,52,52,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
11,PV,ALL,53,53,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
12,PV,ALL,54,54,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
13,PV,ALL,110,110,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
14,PV,ALL,111,111,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
15,LM,ALL,46,46,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
16,LM,ALL,47,47,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
17,PV,ALL,38,38,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
18,PV,ALL,51,51,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
19,PV,ALL,50,50,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
20,PV,ALL,46,46,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
21,PV,ALL,47,47,-1,17,17,True,True,True,True,ALL,0,+000:22:16:01,+001:13:51:00,BAD AC CHANNEL          
