,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
0,AP,ALL,71,71,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
1,PV,ALL,67,67,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
2,PV,ALL,68,68,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
3,PV,ALL,69,69,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
4,PV,ALL,66,66,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
5,PV,ALL,65,65,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
6,PV,ALL,64,64,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
7,PV,ALL,63,63,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
8,PV,ALL,63,63,-1,10,10,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
9,PV,ALL,62,62,-1,10,10,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
10,PV,ALL,70,70,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
11,PV,ALL,71,71,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
12,PV,ALL,72,72,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
13,PV,ALL,63,63,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
14,PV,ALL,64,64,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
15,PV,ALL,65,65,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
16,PV,ALL,66,66,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
17,PV,ALL,67,67,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
18,PV,ALL,68,68,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
19,PV,ALL,69,69,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
20,PV,ALL,70,70,-1,16,16,True,True,True,True,ALL,0,-001:15:06:03,+005:11:20:54,BAD AC CHANNEL          
