# Source	Day	Flux	Comments
0510+180	03/22	2.46	no-uvfits
1055+018	04/06	0.9469
1055+018	04/11	2.964
1749+096	?	1	no-flux
1921-293	?	1	no-flux
3C273	04/06	7.201
3C279	04/05	8.577
3C279	04/06	8.558
3C279	04/10	7.979
3C279	04/11	7.993
3C454.3	?	1	no-flux
3C84	04/07	5.443
BLLAC	?	1	no-flux
CENA	04/10	5.363
CTA102	?	1	no-flux
CYGX-3	04/05	2.45
J0006-0623	04/06	1.923
J0006-0623	04/07	1.036
J0132-1654	04/06	0.0
J0132-1654	04/07	0.3087
J1325-4301	04/10	5.346	no-uvfits
J1733-1304	04/06	1.511
J1733-1304	04/07	1.351
J1733-1304	04/11	1.549
J1924-2914	04/06	3.219
J1924-2914	04/07	2.987
J1924-2914	04/11	3.426
M87	04/05	1.129	no-uvfits
M87	04/06	0.589	no-uvfits
M87	04/10	1.169	no-uvfits
M87	04/11	1.213	no-uvfits
NGC1052	04/06	0.4028
NGC1052	04/07	0.3582
OJ287	04/05	2.954
OJ287	04/10	3.209
OJ287	04/11	3.679
SGRA	04/06	2.455	no-uvfits
SGRA	04/07	2.128	no-uvfits
SGRA	04/11	2.355	no-uvfits
