# Source	Day	Flux	Comments
0510+180	03/22	2.46	no-uvfits
1055+018	04/06	0.9386
1055+018	04/11	3.053
1749+096	?	1	no-flux
1921-293	?	1	no-flux
3C273	04/06	6.608
3C279	04/05	8.527
3C279	04/06	8.541
3C279	04/10	7.953
3C279	04/11	7.956
3C454.3	?	1	no-flux
3C84	04/07	5.324
BLLAC	?	1	no-flux
CENA	04/10	5.382
CTA102	?	1	no-flux
CYGX-3	04/05	2.45
J0006-0623	04/06	1.891
J0006-0623	04/07	1.015
J0132-1654	04/06	0.3573
J0132-1654	04/07	0.2996
J1325-4301	04/10	5.371	no-uvfits
J1733-1304	04/06	1.496
J1733-1304	04/07	1.329
J1733-1304	04/11	1.538
J1924-2914	04/06	3.180
J1924-2914	04/07	2.981
J1924-2914	04/11	3.406
M87	04/05	1.122	no-uvfits
M87	04/06	1.099	no-uvfits
M87	04/10	1.154	no-uvfits
M87	04/11	1.203	no-uvfits
NGC1052	04/06	0.3869
NGC1052	04/07	0.3442
OJ287	04/05	2.941
OJ287	04/10	3.191
OJ287	04/11	3.649
SGRA	04/06	2.542	no-uvfits
SGRA	04/07	2.217	no-uvfits
SGRA	04/11	2.449	no-uvfits
